Routing Key,City,Month,Year,Dwelling Status,Type of Buyer,VALUE
F23,Castlebar,1,2010,All Dwelling Statuses,All Buyer Types,140000.0
F23,Castlebar,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,140000.0
F23,Castlebar,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
F23,Castlebar,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
F23,Castlebar,1,2010,New,All Buyer Types,
F23,Castlebar,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
F23,Castlebar,1,2010,New,Household Buyer - Former Owner-Occupier,
F23,Castlebar,1,2010,New,Household Buyer - Non-Occupier,
F23,Castlebar,1,2010,Existing,All Buyer Types,140000.0
F23,Castlebar,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,140000.0
F23,Castlebar,1,2010,Existing,Household Buyer - Former Owner-Occupier,
F23,Castlebar,1,2010,Existing,Household Buyer - Non-Occupier,
F23,Castlebar,2,2010,All Dwelling Statuses,All Buyer Types,217625.0
F23,Castlebar,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,216250.0
F23,Castlebar,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,219000.0
F23,Castlebar,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
F23,Castlebar,2,2010,New,All Buyer Types,
F23,Castlebar,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
F23,Castlebar,2,2010,New,Household Buyer - Former Owner-Occupier,
F23,Castlebar,2,2010,New,Household Buyer - Non-Occupier,
F23,Castlebar,2,2010,Existing,All Buyer Types,217625.0
F23,Castlebar,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,216250.0
F23,Castlebar,2,2010,Existing,Household Buyer - Former Owner-Occupier,219000.0
F23,Castlebar,2,2010,Existing,Household Buyer - Non-Occupier,
F23,Castlebar,3,2010,All Dwelling Statuses,All Buyer Types,221560.0
F23,Castlebar,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,158000.0
F23,Castlebar,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,333401.0
F23,Castlebar,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,125000.0
F23,Castlebar,3,2010,New,All Buyer Types,481801.0
F23,Castlebar,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
F23,Castlebar,3,2010,New,Household Buyer - Former Owner-Occupier,481801.0
F23,Castlebar,3,2010,New,Household Buyer - Non-Occupier,
F23,Castlebar,3,2010,Existing,All Buyer Types,156500.0
F23,Castlebar,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,158000.0
F23,Castlebar,3,2010,Existing,Household Buyer - Former Owner-Occupier,185000.0
F23,Castlebar,3,2010,Existing,Household Buyer - Non-Occupier,125000.0
F23,Castlebar,4,2010,All Dwelling Statuses,All Buyer Types,146074.0
F23,Castlebar,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,200612.0
F23,Castlebar,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
F23,Castlebar,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,37000.0
F23,Castlebar,4,2010,New,All Buyer Types,200612.0
F23,Castlebar,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,200612.0
F23,Castlebar,4,2010,New,Household Buyer - Former Owner-Occupier,
F23,Castlebar,4,2010,New,Household Buyer - Non-Occupier,
F23,Castlebar,4,2010,Existing,All Buyer Types,37000.0
F23,Castlebar,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
F23,Castlebar,4,2010,Existing,Household Buyer - Former Owner-Occupier,
F23,Castlebar,4,2010,Existing,Household Buyer - Non-Occupier,37000.0
F23,Castlebar,5,2010,All Dwelling Statuses,All Buyer Types,170500.0
F23,Castlebar,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,177500.0
F23,Castlebar,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,183000.0
F23,Castlebar,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,151000.0
F23,Castlebar,5,2010,New,All Buyer Types,
F23,Castlebar,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
F23,Castlebar,5,2010,New,Household Buyer - Former Owner-Occupier,
F23,Castlebar,5,2010,New,Household Buyer - Non-Occupier,
F23,Castlebar,5,2010,Existing,All Buyer Types,170500.0
F23,Castlebar,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,177500.0
F23,Castlebar,5,2010,Existing,Household Buyer - Former Owner-Occupier,183000.0
F23,Castlebar,5,2010,Existing,Household Buyer - Non-Occupier,151000.0
F23,Castlebar,6,2010,All Dwelling Statuses,All Buyer Types,201000.0
F23,Castlebar,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,201000.0
F23,Castlebar,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
F23,Castlebar,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
F23,Castlebar,6,2010,New,All Buyer Types,
F23,Castlebar,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
F23,Castlebar,6,2010,New,Household Buyer - Former Owner-Occupier,
F23,Castlebar,6,2010,New,Household Buyer - Non-Occupier,
F23,Castlebar,6,2010,Existing,All Buyer Types,201000.0
F23,Castlebar,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,201000.0
F23,Castlebar,6,2010,Existing,Household Buyer - Former Owner-Occupier,
F23,Castlebar,6,2010,Existing,Household Buyer - Non-Occupier,
F23,Castlebar,7,2010,All Dwelling Statuses,All Buyer Types,179803.0
F23,Castlebar,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,158469.0
F23,Castlebar,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,201137.0
F23,Castlebar,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
F23,Castlebar,7,2010,New,All Buyer Types,192856.0
F23,Castlebar,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,141875.0
F23,Castlebar,7,2010,New,Household Buyer - Former Owner-Occupier,209850.0
F23,Castlebar,7,2010,New,Household Buyer - Non-Occupier,
F23,Castlebar,7,2010,Existing,All Buyer Types,166750.0
F23,Castlebar,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,164000.0
F23,Castlebar,7,2010,Existing,Household Buyer - Former Owner-Occupier,175000.0
F23,Castlebar,7,2010,Existing,Household Buyer - Non-Occupier,
F23,Castlebar,8,2010,All Dwelling Statuses,All Buyer Types,222752.0
F23,Castlebar,8,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,213403.0
F23,Castlebar,8,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,282500.0
F23,Castlebar,8,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,150000.0
F23,Castlebar,8,2010,New,All Buyer Types,170250.0
F23,Castlebar,8,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,170250.0
F23,Castlebar,8,2010,New,Household Buyer - Former Owner-Occupier,
F23,Castlebar,8,2010,New,Household Buyer - Non-Occupier,
F23,Castlebar,8,2010,Existing,All Buyer Types,230252.0
F23,Castlebar,8,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,224191.0
F23,Castlebar,8,2010,Existing,Household Buyer - Former Owner-Occupier,282500.0
F23,Castlebar,8,2010,Existing,Household Buyer - Non-Occupier,150000.0
F23,Castlebar,9,2010,All Dwelling Statuses,All Buyer Types,182722.0
F23,Castlebar,9,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,170833.0
F23,Castlebar,9,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,211250.0
F23,Castlebar,9,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,197000.0
F23,Castlebar,9,2010,New,All Buyer Types,185000.0
F23,Castlebar,9,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,185000.0
F23,Castlebar,9,2010,New,Household Buyer - Former Owner-Occupier,
F23,Castlebar,9,2010,New,Household Buyer - Non-Occupier,
F23,Castlebar,9,2010,Existing,All Buyer Types,182438.0
F23,Castlebar,9,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,168000.0
F23,Castlebar,9,2010,Existing,Household Buyer - Former Owner-Occupier,211250.0
F23,Castlebar,9,2010,Existing,Household Buyer - Non-Occupier,197000.0
F23,Castlebar,10,2010,All Dwelling Statuses,All Buyer Types,141000.0
F23,Castlebar,10,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
F23,Castlebar,10,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
F23,Castlebar,10,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,141000.0
F23,Castlebar,10,2010,New,All Buyer Types,
F23,Castlebar,10,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
F23,Castlebar,10,2010,New,Household Buyer - Former Owner-Occupier,
